X,Y,GroundwaterStressEnd
1228103.508,497110.845,0.0
1238103.508,497110.845,0.0
78103.508,487110.845,0.0
88103.508,487110.845,0.0
98103.508,487110.845,0.0
108103.508,487110.845,0.0
118103.508,487110.845,0.0
128103.508,487110.845,0.0
138103.508,487110.845,0.0
148103.508,487110.845,0.0
158103.508,487110.845,0.0
168103.508,487110.845,0.0
178103.508,487110.845,0.0
188103.508,487110.845,0.0
198103.508,487110.845,0.0
208103.508,487110.845,0.0
218103.508,487110.845,0.0
228103.508,487110.845,0.0
238103.508,487110.845,0.0
248103.508,487110.845,0.0
258103.508,487110.845,0.0
268103.50800000003,487110.845,0.0
278103.50800000003,487110.845,0.0
288103.50800000003,487110.845,0.0
298103.50800000003,487110.845,0.0
308103.50800000003,487110.845,0.0
318103.50800000003,487110.845,0.0
328103.50800000003,487110.845,0.0
338103.508,487110.845,0.0
348103.508,487110.845,0.0
358103.508,487110.845,0.0
368103.508,487110.845,0.0
378103.508,487110.845,0.0
388103.508,487110.845,0.0
398103.508,487110.845,0.0
408103.508,487110.845,0.0
418103.508,487110.845,0.0
428103.508,487110.845,0.0
438103.508,487110.845,0.0
448103.508,487110.845,0.0
458103.508,487110.845,0.0
468103.508,487110.845,0.0
478103.508,487110.845,0.0
488103.508,487110.845,0.0
498103.508,487110.845,0.0
508103.508,487110.845,0.0
518103.508,487110.845,0.0
528103.5079999999,487110.845,0.0
538103.5079999999,487110.845,0.0
548103.5079999999,487110.845,0.0
558103.5079999999,487110.845,0.0
568103.5079999999,487110.845,0.0
578103.5079999999,487110.845,0.0
588103.5079999999,487110.845,0.0
598103.5079999999,487110.845,0.0
608103.5079999999,487110.845,0.0
618103.5079999999,487110.845,0.0
628103.5079999999,487110.845,0.0
638103.5079999999,487110.845,0.0
648103.5079999999,487110.845,0.0
658103.5079999999,487110.845,0.0
668103.5079999999,487110.845,0.0
678103.5079999999,487110.845,0.0
688103.5079999999,487110.845,0.0
698103.5079999999,487110.845,0.04769026897203858
708103.5079999998,487110.845,2.8097004054372756
718103.5079999998,487110.845,0.3293170857313782
728103.5079999998,487110.845,48.627060782481465
738103.5079999998,487110.845,55.311467031467046
748103.5079999998,487110.845,79.41567905318921
758103.5079999998,487110.845,40.34899416076704
768103.5079999998,487110.845,47.37619820823036
