X,Y,LeastCostSystem
278103.50800000003,487110.845,00
288103.50800000003,487110.845,00
298103.50800000003,487110.845,00
308103.50800000003,487110.845,00
318103.50800000003,487110.845,00
328103.50800000003,487110.845,00
338103.508,487110.845,00
348103.508,487110.845,00
358103.508,487110.845,00
368103.508,487110.845,00
378103.508,487110.845,00
388103.508,487110.845,00
398103.508,487110.845,00
408103.508,487110.845,00
418103.508,487110.845,00
428103.508,487110.845,00
438103.508,487110.845,00
448103.508,487110.845,00
458103.508,487110.845,00
468103.508,487110.845,00
478103.508,487110.845,00
488103.508,487110.845,00
498103.508,487110.845,00
508103.508,487110.845,00
518103.508,487110.845,00
528103.5079999999,487110.845,00
538103.5079999999,487110.845,00
548103.5079999999,487110.845,00
558103.5079999999,487110.845,00
568103.5079999999,487110.845,00
578103.5079999999,487110.845,00
588103.5079999999,487110.845,00
598103.5079999999,487110.845,00
608103.5079999999,487110.845,00
618103.5079999999,487110.845,00
628103.5079999999,487110.845,00
638103.5079999999,487110.845,00
648103.5079999999,487110.845,00
658103.5079999999,487110.845,00
668103.5079999999,487110.845,00
678103.5079999999,487110.845,00
688103.5079999999,487110.845,00
698103.5079999999,487110.845,01
708103.5079999998,487110.845,51
718103.5079999998,487110.845,11
728103.5079999998,487110.845,11
738103.5079999998,487110.845,11
748103.5079999998,487110.845,11
758103.5079999998,487110.845,11
768103.5079999998,487110.845,11
778103.5079999998,487110.845,11
788103.5079999998,487110.845,10
798103.5079999998,487110.845,11
808103.5079999998,487110.845,11
818103.5079999998,487110.845,11
828103.5079999998,487110.845,11
838103.5079999998,487110.845,11
848103.5079999998,487110.845,51
858103.5079999998,487110.845,51
868103.5079999998,487110.845,51
878103.5079999998,487110.845,51
888103.5079999998,487110.845,51
898103.5079999998,487110.845,51
908103.508,487110.845,51
918103.508,487110.845,51
928103.508,487110.845,51
938103.508,487110.845,00
948103.508,487110.845,00
958103.508,487110.845,00
968103.508,487110.845,00
978103.508,487110.845,00
988103.508,487110.845,00
998103.508,487110.845,00
1008103.508,487110.845,00
1018103.508,487110.845,00
1028103.508,487110.845,00
1038103.508,487110.845,00
1048103.508,487110.845,00
1058103.508,487110.845,00
1068103.508,487110.845,00
1078103.508,487110.845,00
1088103.508,487110.845,00
1098103.508,487110.845,00
1108103.508,487110.845,00
